comparison,metric,mean_diff,ci_low,ci_high,n_pairs,block_size
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,cvar_95,0.001999937565752163,0.0012387718401803587,0.0027692417017814545,70,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,drawdown_duration,4.142857142857143,-12.400357142857143,20.360357142857126,70,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,turnover,-0.023152196717794615,-0.027558646372409082,-0.01834694747507796,70,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,transaction_cost_paid,-0.015992563374768204,-0.01881408416232432,-0.013081401066385666,70,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,constraint_violation_severity,-0.00020590237841791568,-0.0002549344089491616,-0.0001492173529024512,70,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,optimizer_recovery_success_rate,-0.017316017316017333,-0.019624819624819642,-0.014430014430014444,70,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,turnover_adjusted_net_return,-0.01242720777435093,-0.027775596961527198,0.0022328391887773387,70,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,locked_cumulative_return,-0.028419771149119137,-0.046492317114845846,-0.00934102910689227,70,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,locked_sharpe,-0.2700649650211669,-0.355217511112246,-0.1798778641545075,70,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,cvar_95,0.0013722340995895573,0.0010598265940948922,0.0016534432230807627,70,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,drawdown_duration,-25.285714285714285,-32.2725,-17.957142857142856,70,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,turnover,-0.004906943411630177,-0.00614894988407753,-0.0034652060413292865,70,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,transaction_cost_paid,-0.00427324112662803,-0.00535444930335934,-0.003016965595829245,70,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,constraint_violation_severity,-2.1600421733035613e-05,-2.819636734694656e-05,-1.496797185723299e-05,70,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,optimizer_recovery_success_rate,-0.011544011544011554,-0.014430014430014444,-0.008080808080808088,70,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,turnover_adjusted_net_return,-0.015033426456938538,-0.017669493520924225,-0.012240521462010094,70,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,locked_cumulative_return,-0.019306667583566566,-0.022876014475728054,-0.015187761037629227,70,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,locked_sharpe,-0.012178594767745812,-0.015137949296290209,-0.009051159932899355,70,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,cvar_95,-0.004962290155732503,-0.007827008392055556,-0.0021331771994715174,70,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,drawdown_duration,-75.78571428571429,-136.7632142857143,-14.2,70,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,turnover,0.02491617925434363,0.01055918607405473,0.039174582913327816,70,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,transaction_cost_paid,0.0137439177298486,0.0051224340634340275,0.022661910336462917,70,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,constraint_violation_severity,0.00035327223993919017,0.00012303577404339038,0.000561194670342725,70,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,optimizer_recovery_success_rate,0.0028860028860028886,-0.006349206349206355,0.011544011544011554,70,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,turnover_adjusted_net_return,0.06511433369244224,0.026365934941505523,0.10429908803020099,70,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,locked_cumulative_return,0.07885825142229083,0.03166486566258798,0.12299814975289497,70,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,locked_sharpe,0.1947652076756334,0.013632265342992273,0.3739878951773882,70,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,cvar_95,-0.004243940913799962,-0.004865864804351404,-0.003626445999764989,70,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,drawdown_duration,88.14285714285714,62.22857142857143,111.97571428571426,70,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,turnover,0.04351909857182571,0.038529829392811715,0.04875941221779668,70,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,transaction_cost_paid,0.025295495255238453,0.022002092192784702,0.028616584375252708,70,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,constraint_violation_severity,-0.05470752349460236,-0.05477409223274749,-0.0546350606235628,70,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,optimizer_recovery_success_rate,-0.017316017316017333,-0.02020202020202022,-0.014430014430014444,70,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,turnover_adjusted_net_return,-0.10656228036614493,-0.12625071189356943,-0.08490081373156683,70,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,locked_cumulative_return,-0.0812667851109065,-0.1047211933093732,-0.05692679995679318,70,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,locked_sharpe,-0.6955699166434967,-0.8147815995379267,-0.5781549912312187,70,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,cvar_95,0.0035312038774558746,0.0032186391622301344,0.003798932410157408,70,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,drawdown_duration,87.28571428571429,63.02321428571429,110.18964285714283,70,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,turnover,0.04351909857182571,0.038573093879721916,0.04863371483134131,70,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,transaction_cost_paid,0.025295495255238453,0.022102958682507855,0.028642273665319122,70,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,constraint_violation_severity,-0.0002987335997244939,-0.00036543282912902456,-0.00022578374867969337,70,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,optimizer_recovery_success_rate,-0.017316017316017333,-0.02020202020202022,-0.014430014430014444,70,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,turnover_adjusted_net_return,-0.18206987228107754,-0.2017279490110872,-0.16249851528934486,70,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,locked_cumulative_return,-0.1567743770258391,-0.178927697587084,-0.13308567223533355,70,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,locked_sharpe,-0.5945125552127207,-0.7094969649903863,-0.4770769647085714,70,5
