arm,seed,split_id,candidate_id,selection_score,is_score,oos_score,valid_for_selection,selection_status,gate_pass,gate_reason,clean_panel_w_star_invariance,policy_specification_frozen,leakage_audit_pass,candidate_values,is_cumulative_return,is_annualized_return,is_sharpe,is_sortino,is_calmar,is_max_drawdown,is_drawdown_duration,is_cvar_95,is_downside_deviation,is_realized_volatility,is_turnover,is_transaction_cost_paid,is_turnover_adjusted_net_return,is_constraint_violation_severity,is_infeasible_optimization_events,is_optimizer_recovery_success_rate,is_failed_rebalance_retention_rate,is_cash_ratio_due_to_infeasibility,is_exposure_drift,is_herfindahl_index,is_diversification_ratio,is_asset_class_cap_violation_severity,is_high_vol_return,is_normal_vol_return,is_stress_recovery_return,is_n_days,oos_cumulative_return,oos_annualized_return,oos_sharpe,oos_sortino,oos_calmar,oos_max_drawdown,oos_drawdown_duration,oos_cvar_95,oos_downside_deviation,oos_realized_volatility,oos_turnover,oos_transaction_cost_paid,oos_turnover_adjusted_net_return,oos_constraint_violation_severity,oos_infeasible_optimization_events,oos_optimizer_recovery_success_rate,oos_failed_rebalance_retention_rate,oos_cash_ratio_due_to_infeasibility,oos_exposure_drift,oos_herfindahl_index,oos_diversification_ratio,oos_asset_class_cap_violation_severity,oos_high_vol_return,oos_normal_vol_return,oos_stress_recovery_return,oos_n_days,chosen
Fixed Safe Portfolio Harness,0,0,Fixed Safe Portfolio Harness-0-0,-0.07852945661810223,0.30712057065665976,-0.0035910221393916364,True,VALID_SELECTED,True,VALID,True,True,True,"{'covariance_estimator': 'ledoit_wolf_0_20', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'previous_weights', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'scale_trades', 'cost_accounting': 'conservative', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': False, 'risk_aversion_lambda': 3.0, 'objective_return_weight': 1.0, 'max_weight': 0.18, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.0, 'rebalance_frequency': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.3595048516200887,0.056963753939487605,0.44101087271686745,0.4262676279085503,0.17975679741884176,-0.3168934624862023,614.0,-0.022048927259320228,0.15684911988002703,0.1516055644136634,0.0698727059722118,0.05238428096342895,0.30712057065665976,5.602771885187798e-18,0.0,1.0,1.0,0.02845067985934052,0.02845067985934052,0.06325230982691298,1.4622953643226442,0.0,0.0004394211950860842,0.0001595310132926815,-3.595175222854696e-05,1397.0,0.046045855667895985,0.016385421849992365,0.21293085776443912,0.19723334175532534,0.11792605328483909,-0.13894658045084363,189.0,-0.015552740540069762,0.10768894226663261,0.09974998540061977,0.07012822671322362,0.04963687780728762,-0.0035910221393916364,0.00039708203397570776,0.0,1.0,1.0,0.029304337554934695,0.029304337554934695,0.051674619662989425,1.4495204650996953,0.0,0.0001236104298279514,8.400138646012892e-05,0.0002803505666436314,698.0,True
Same-Budget Safe Configuration Search,0,0,Same-Budget Safe Configuration Search-0-2,0.3,0.0,-0.12449000594487145,True,VALID_SELECTED,True,VALID,True,True,True,"{'covariance_estimator': 'sample_then_diagonal', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'previous_weights', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'strict', 'cost_accounting': 'strict', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': False, 'risk_aversion_lambda': 3.0, 'objective_return_weight': 1.0, 'max_weight': 0.18, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.0, 'rebalance_frequency': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1397.0,-0.12426500594487144,-0.046776523330535724,-0.9717792247692449,-0.8417052577087383,-0.2638188776733677,-0.17730544433764672,303.0,-0.007751762842927661,0.05553519808137497,0.04810173650716733,0.00025787965616045846,0.000225,-0.12449000594487145,0.0,0.0,1.0,1.0,0.8581661891117478,0.8581661891117478,0.025530085959885377,0.8261457117008039,0.0,0.006403893247226079,-0.0002330355980678186,-0.00017026347356358275,698.0,True
Random Legal Harness Patch,0,0,Random Legal Harness Patch-0-0,1.0,0.0,-0.12449000594487145,True,VALID_SELECTED,True,VALID,True,True,True,"{'covariance_estimator': 'sample_then_diagonal', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'risk_parity', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'strict', 'cost_accounting': 'conservative', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': False, 'risk_aversion_lambda': 3.0, 'objective_return_weight': 1.0, 'max_weight': 0.18, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.0, 'rebalance_frequency': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.9595959595959596,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1397.0,-0.12426500594487144,-0.046776523330535724,-0.9717792247692449,-0.8417052577087383,-0.2638188776733677,-0.17730544433764672,303.0,-0.007751762842927661,0.05553519808137497,0.04810173650716733,0.00025787965616045846,0.000225,-0.12449000594487145,0.0,36.0,0.9595959595959596,1.0,0.8581661891117478,0.8581661891117478,0.025530085959885377,0.8261457117008039,0.0,0.006403893247226079,-0.0002330355980678186,-0.00017026347356358275,698.0,True
TASE Typed Portfolio Harness Reconstruction,0,0,TASE Typed Portfolio Harness Reconstruction-0-5,0.3,0.0,-0.12449000594487145,True,VALID_SELECTED,True,VALID,True,True,True,"{'covariance_estimator': 'sample_then_diagonal', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'previous_weights', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'strict', 'cost_accounting': 'strict', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': False, 'risk_aversion_lambda': 3.0, 'objective_return_weight': 1.0, 'max_weight': 0.18, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.0, 'rebalance_frequency': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1397.0,-0.12426500594487144,-0.046776523330535724,-0.9717792247692449,-0.8417052577087383,-0.2638188776733677,-0.17730544433764672,303.0,-0.007751762842927661,0.05553519808137497,0.04810173650716733,0.00025787965616045846,0.000225,-0.12449000594487145,0.0,0.0,1.0,1.0,0.8581661891117478,0.8581661891117478,0.025530085959885377,0.8261457117008039,0.0,0.006403893247226079,-0.0002330355980678186,-0.00017026347356358275,698.0,True
Unconstrained Portfolio Harness Search,0,0,,,,,False,NO_VALID_CANDIDATE,False,NO_VALID_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
Portfolio Strategy Tuning Baseline,0,0,Portfolio Strategy Tuning Baseline-0-48,-0.07671685015889548,0.3157604024681339,-0.0004169004495091777,False,STRATEGY_SELECTED,False,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,False,False,True,"{'covariance_estimator': 'ledoit_wolf_0_20', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'previous_weights', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'scale_trades', 'cost_accounting': 'conservative', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': True, 'risk_aversion_lambda': 3.0, 'objective_return_weight': 1.0, 'max_weight': 0.3, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.0, 'rebalance_frequency': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.3682627107060856,0.05818875893149489,0.44642047579286903,0.4317566686156782,0.18379724861012775,-0.3165921109892421,614.0,-0.022206949729289376,0.15794537934589056,0.15275726474800413,0.07004064722123327,0.05250230823795171,0.3157604024681339,5.324620089469255e-18,0.0,1.0,1.0,0.010160596506737648,0.01016059650673766,0.06789270894572137,1.4727588882429885,3.9735970816934737e-19,0.0004506166040648586,0.0001612404987971354,-2.245752576776451e-05,1397.0,0.04940015274361276,0.017560887584401774,0.22112078048722592,0.2044259866445393,0.12606900137315974,-0.13929584111182236,139.0,-0.01607402091879604,0.1109622170498669,0.1025844818867894,0.07033473145343487,0.049817053193121935,-0.0004169004495091777,0.0005844982829621155,0.0,1.0,1.0,0.016010531320560666,0.01601053132056067,0.05398106747594295,1.439054792608244,0.0,0.00010294309634768586,8.99208471774419e-05,0.0002916655740350843,698.0,True
Equal Weight ETF Portfolio,0,0,Equal Weight ETF Portfolio-0-0,,,0.20462097991164072,True,PASSIVE,True,PASSIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20587097991164072,0.06992212166480405,0.7611250565206533,0.7058314404888582,0.5840636835636586,-0.11971660562453557,76.0,-0.014230570129969854,0.10213321762558429,0.09471352375123397,0.0014326647564469914,0.00125,0.20462097991164072,0.0009312320916905444,0.0,1.0,1.0,0.0,0.0,0.025641025641025623,1.492361341907497,0.0,0.001929040842639861,0.00027421274049415164,0.0005062742715388556,698.0,True
Risk Parity Fixed Portfolio,0,0,Risk Parity Fixed Portfolio-0-0,,,0.13865886499542476,True,PASSIVE,True,PASSIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13990886499542476,0.04841182287418988,0.8542423932825977,0.8067885836639916,0.6796808211121615,-0.07122728988435134,91.0,-0.008577991857116598,0.06063857101432917,0.05727005263232661,0.0014326647564469911,0.0012499999999999998,0.13865886499542476,0.055340021986568406,0.0,1.0,1.0,2.220446049250313e-16,2.220446049250313e-16,0.07618382195489284,1.6309599908774082,0.0,0.000981471672532885,0.00018845630600678988,0.0003096233846390481,698.0,True
60/40 Portfolio,0,0,60/40 Portfolio-0-0,,,0.28209070375202594,True,PASSIVE,True,PASSIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2833407037520259,0.09424574268159058,1.319134578701142,1.284968741279109,1.3586179475066908,-0.06936883386131365,91.0,-0.01037040358382686,0.07202084690993878,0.07015549322559757,0.0014326647564469914,0.00125,0.28209070375202594,0.6909312320916904,0.0,1.0,1.0,0.0,0.0,0.5199999999999999,1.384223878015649,0.049999999999999926,0.0006774254867460708,0.0003650022372964574,0.0004812210869097103,698.0,True
Fixed Safe Portfolio Harness,0,1,Fixed Safe Portfolio Harness-0-0,0.13556024170515557,0.5759588041735983,-0.02589269943381102,True,VALID_SELECTED,True,VALID,True,True,True,"{'covariance_estimator': 'ledoit_wolf_0_20', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'previous_weights', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'scale_trades', 'cost_accounting': 'conservative', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': False, 'risk_aversion_lambda': 3.0, 'objective_return_weight': 1.0, 'max_weight': 0.18, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.0, 'rebalance_frequency': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.6439192616959504,0.09388037162235552,0.6798617385357438,0.6699372625565491,0.4390255147549499,-0.21383807652900666,207.0,-0.021505245726679355,0.15025961558918502,0.14806615791826258,0.07040187312453682,0.067960457522352,0.5759588041735983,0.0004631129316321366,0.0,1.0,1.0,0.033781906365585916,0.033781906365585916,0.05949882491233895,1.4832866948990255,0.0,0.0004609347303461284,0.00037696660465412056,0.00033028426159191623,1396.0,0.008726749580544535,0.0031373872688895688,0.0820857605289077,0.07589695748325773,0.016200852062461604,-0.19365569519390236,505.0,-0.016219115210414917,0.11158249448453637,0.10316980418042537,0.06030833712571114,0.034619449014355555,-0.02589269943381102,0.0009298246051207624,0.0,1.0,1.0,0.004829419237856031,0.004829419237856032,0.05578614947557436,1.4476033686763856,0.0,0.0006711656442952072,-3.065171850515433e-05,0.00022651707669848532,699.0,True
