comparison,metric,mean_diff,ci_low,ci_high,n_pairs,block_size
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,cvar_95,0.0019999375657521,0.0009574033938259,0.0030383022123603,35,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,drawdown_duration,4.142857142857143,-20.29642857142857,26.57285714285713,35,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,turnover,-0.0231521967177946,-0.0295078444580274,-0.016201970566235,35,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,transaction_cost_paid,-0.0159925633747682,-0.0199751813963848,-0.011780828338603,35,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,constraint_violation_severity,-0.0002059023784179,-0.0002738987910389,-0.0001298843340663,35,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,optimizer_recovery_success_rate,-0.0173160173160173,-0.0207792207792208,-0.0138528138528138,35,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,turnover_adjusted_net_return,-0.0124272077743509,-0.0339452768863554,0.0091488995215443,35,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,locked_cumulative_return,-0.0284197711491191,-0.0539696678835364,-0.0016117141478663,35,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,locked_sharpe,-0.2700649650211669,-0.4008766137583721,-0.1363659380759687,35,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,cvar_95,0.0013722340995895,0.0009005872645183,0.0017814298026482,35,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,drawdown_duration,-25.285714285714285,-34.714285714285715,-12.257142857142858,35,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,turnover,-0.0049069434116301,-0.0064096406869639,-0.0029424277442871,35,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,transaction_cost_paid,-0.004273241126628,-0.0055810093609091,-0.0025638806588255,35,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,constraint_violation_severity,-2.1600421733035613e-05,-3.04355778939288e-05,-1.274093455161118e-05,35,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,optimizer_recovery_success_rate,-0.0115440115440115,-0.015007215007215,-0.0069264069264069,35,5
