arm,seed,split_id,candidate_id,selection_score,is_score,oos_score,valid_for_selection,selection_status,gate_pass,gate_reason,clean_panel_w_star_invariance,policy_specification_frozen,leakage_audit_pass,candidate_values,is_cumulative_return,is_annualized_return,is_sharpe,is_sortino,is_calmar,is_max_drawdown,is_drawdown_duration,is_cvar_95,is_downside_deviation,is_realized_volatility,is_turnover,is_transaction_cost_paid,is_turnover_adjusted_net_return,is_constraint_violation_severity,is_infeasible_optimization_events,is_optimizer_recovery_success_rate,is_failed_rebalance_retention_rate,is_cash_ratio_due_to_infeasibility,is_exposure_drift,is_herfindahl_index,is_diversification_ratio,is_asset_class_cap_violation_severity,is_high_vol_return,is_normal_vol_return,is_stress_recovery_return,is_n_days,oos_cumulative_return,oos_annualized_return,oos_sharpe,oos_sortino,oos_calmar,oos_max_drawdown,oos_drawdown_duration,oos_cvar_95,oos_downside_deviation,oos_realized_volatility,oos_turnover,oos_transaction_cost_paid,oos_turnover_adjusted_net_return,oos_constraint_violation_severity,oos_infeasible_optimization_events,oos_optimizer_recovery_success_rate,oos_failed_rebalance_retention_rate,oos_cash_ratio_due_to_infeasibility,oos_exposure_drift,oos_herfindahl_index,oos_diversification_ratio,oos_asset_class_cap_violation_severity,oos_high_vol_return,oos_normal_vol_return,oos_stress_recovery_return,oos_n_days,chosen
Fixed Safe Portfolio Harness,0,0,Fixed Safe Portfolio Harness-0-0,-0.0785294566181022,0.3071205706566597,-0.0035910221393916,True,VALID_SELECTED,True,VALID,True,True,True,"{'covariance_estimator': 'ledoit_wolf_0_20', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'previous_weights', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'scale_trades', 'cost_accounting': 'conservative', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': False, 'risk_aversion_lambda': 3.0, 'objective_return_weight': 1.0, 'max_weight': 0.18, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.0, 'rebalance_frequency': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.3595048516200887,0.0569637539394876,0.4410108727168674,0.4262676279085503,0.1797567974188417,-0.3168934624862023,614.0,-0.0220489272593202,0.156849119880027,0.1516055644136634,0.0698727059722118,0.0523842809634289,0.3071205706566597,5.6027718851877985e-18,0.0,1.0,1.0,0.0284506798593405,0.0284506798593405,0.0632523098269129,1.4622953643226442,0.0,0.000439421195086,0.0001595310132926,-3.595175222854696e-05,1397.0,0.0460458556678959,0.0163854218499923,0.2129308577644391,0.1972333417553253,0.117926053284839,-0.1389465804508436,189.0,-0.0155527405400697,0.1076889422666326,0.0997499854006197,0.0701282267132236,0.0496368778072876,-0.0035910221393916,0.0003970820339757,0.0,1.0,1.0,0.0293043375549346,0.0293043375549346,0.0516746196629894,1.4495204650996951,0.0,0.0001236104298279,8.400138646012892e-05,0.0002803505666436,698.0,True
Same-Budget Safe Configuration Search,0,0,Same-Budget Safe Configuration Search-0-2,0.3,0.0,-0.1244900059448714,True,VALID_SELECTED,True,VALID,True,True,True,"{'covariance_estimator': 'sample_then_diagonal', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'previous_weights', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'strict', 'cost_accounting': 'strict', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': False, 'risk_aversion_lambda': 3.0, 'objective_return_weight': 1.0, 'max_weight': 0.18, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.0, 'rebalance_frequency': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1397.0,-0.1242650059448714,-0.0467765233305357,-0.9717792247692448,-0.8417052577087383,-0.2638188776733677,-0.1773054443376467,303.0,-0.0077517628429276,0.0555351980813749,0.0481017365071673,0.0002578796561604,0.000225,-0.1244900059448714,0.0,0.0,1.0,1.0,0.8581661891117478,0.8581661891117478,0.0255300859598853,0.8261457117008039,0.0,0.006403893247226,-0.0002330355980678,-0.0001702634735635,698.0,True
Random Legal Harness Patch,0,0,Random Legal Harness Patch-0-0,1.0,0.0,-0.1244900059448714,True,VALID_SELECTED,True,VALID,True,True,True,"{'covariance_estimator': 'sample_then_diagonal', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'risk_parity', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'strict', 'cost_accounting': 'conservative', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': False, 'risk_aversion_lambda': 3.0, 'objective_return_weight': 1.0, 'max_weight': 0.18, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.0, 'rebalance_frequency': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.9595959595959596,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1397.0,-0.1242650059448714,-0.0467765233305357,-0.9717792247692448,-0.8417052577087383,-0.2638188776733677,-0.1773054443376467,303.0,-0.0077517628429276,0.0555351980813749,0.0481017365071673,0.0002578796561604,0.000225,-0.1244900059448714,0.0,36.0,0.9595959595959596,1.0,0.8581661891117478,0.8581661891117478,0.0255300859598853,0.8261457117008039,0.0,0.006403893247226,-0.0002330355980678,-0.0001702634735635,698.0,True
TASE Typed Portfolio Harness Reconstruction,0,0,TASE Typed Portfolio Harness Reconstruction-0-5,0.3,0.0,-0.1244900059448714,True,VALID_SELECTED,True,VALID,True,True,True,"{'covariance_estimator': 'sample_then_diagonal', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'previous_weights', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'strict', 'cost_accounting': 'strict', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': False, 'risk_aversion_lambda': 3.0, 'objective_return_weight': 1.0, 'max_weight': 0.18, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.0, 'rebalance_frequency': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1397.0,-0.1242650059448714,-0.0467765233305357,-0.9717792247692448,-0.8417052577087383,-0.2638188776733677,-0.1773054443376467,303.0,-0.0077517628429276,0.0555351980813749,0.0481017365071673,0.0002578796561604,0.000225,-0.1244900059448714,0.0,0.0,1.0,1.0,0.8581661891117478,0.8581661891117478,0.0255300859598853,0.8261457117008039,0.0,0.006403893247226,-0.0002330355980678,-0.0001702634735635,698.0,True
Unconstrained Portfolio Harness Search,0,0,,,,,False,NO_VALID_CANDIDATE,False,NO_VALID_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
Portfolio Strategy Tuning Baseline,0,0,Portfolio Strategy Tuning Baseline-0-48,-0.0767168501588954,0.3157604024681339,-0.0004169004495091,False,STRATEGY_SELECTED,False,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,False,False,True,"{'covariance_estimator': 'ledoit_wolf_0_20', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'previous_weights', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'scale_trades', 'cost_accounting': 'conservative', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': True, 'risk_aversion_lambda': 3.0, 'objective_return_weight': 1.0, 'max_weight': 0.3, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.0, 'rebalance_frequency': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.3682627107060856,0.0581887589314948,0.446420475792869,0.4317566686156782,0.1837972486101277,-0.3165921109892421,614.0,-0.0222069497292893,0.1579453793458905,0.1527572647480041,0.0700406472212332,0.0525023082379517,0.3157604024681339,5.3246200894692555e-18,0.0,1.0,1.0,0.0101605965067376,0.0101605965067376,0.0678927089457213,1.4727588882429885,3.9735970816934737e-19,0.0004506166040648,0.0001612404987971,-2.245752576776451e-05,1397.0,0.0494001527436127,0.0175608875844017,0.2211207804872259,0.2044259866445393,0.1260690013731597,-0.1392958411118223,139.0,-0.016074020918796,0.1109622170498669,0.1025844818867894,0.0703347314534348,0.0498170531931219,-0.0004169004495091,0.0005844982829621,0.0,1.0,1.0,0.0160105313205606,0.0160105313205606,0.0539810674759429,1.439054792608244,0.0,0.0001029430963476,8.99208471774419e-05,0.000291665574035,698.0,True
Equal Weight ETF Portfolio,0,0,Equal Weight ETF Portfolio-0-0,,,0.2046209799116407,True,PASSIVE,True,PASSIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2058709799116407,0.069922121664804,0.7611250565206533,0.7058314404888582,0.5840636835636586,-0.1197166056245355,76.0,-0.0142305701299698,0.1021332176255842,0.0947135237512339,0.0014326647564469,0.00125,0.2046209799116407,0.0009312320916905,0.0,1.0,1.0,0.0,0.0,0.0256410256410256,1.492361341907497,0.0,0.0019290408426398,0.0002742127404941,0.0005062742715388,698.0,True
Risk Parity Fixed Portfolio,0,0,Risk Parity Fixed Portfolio-0-0,,,0.1386588649954247,True,PASSIVE,True,PASSIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1399088649954247,0.0484118228741898,0.8542423932825977,0.8067885836639916,0.6796808211121615,-0.0712272898843513,91.0,-0.0085779918571165,0.0606385710143291,0.0572700526323266,0.0014326647564469,0.0012499999999999,0.1386588649954247,0.0553400219865684,0.0,1.0,1.0,2.220446049250313e-16,2.220446049250313e-16,0.0761838219548928,1.6309599908774082,0.0,0.0009814716725328,0.0001884563060067,0.000309623384639,698.0,True
60/40 Portfolio,0,0,60/40 Portfolio-0-0,,,0.2820907037520259,True,PASSIVE,True,PASSIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2833407037520259,0.0942457426815905,1.319134578701142,1.284968741279109,1.3586179475066908,-0.0693688338613136,91.0,-0.0103704035838268,0.0720208469099387,0.0701554932255975,0.0014326647564469,0.00125,0.2820907037520259,0.6909312320916904,0.0,1.0,1.0,0.0,0.0,0.5199999999999999,1.384223878015649,0.0499999999999999,0.000677425486746,0.0003650022372964,0.0004812210869097,698.0,True
Fixed Safe Portfolio Harness,0,1,Fixed Safe Portfolio Harness-0-0,0.1355602417051555,0.5759588041735983,-0.025892699433811,True,VALID_SELECTED,True,VALID,True,True,True,"{'covariance_estimator': 'ledoit_wolf_0_20', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'previous_weights', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'scale_trades', 'cost_accounting': 'conservative', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': False, 'risk_aversion_lambda': 3.0, 'objective_return_weight': 1.0, 'max_weight': 0.18, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.0, 'rebalance_frequency': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.6439192616959504,0.0938803716223555,0.6798617385357438,0.6699372625565491,0.4390255147549499,-0.2138380765290066,207.0,-0.0215052457266793,0.150259615589185,0.1480661579182625,0.0704018731245368,0.067960457522352,0.5759588041735983,0.0004631129316321,0.0,1.0,1.0,0.0337819063655859,0.0337819063655859,0.0594988249123389,1.4832866948990255,0.0,0.0004609347303461,0.0003769666046541,0.0003302842615919,1396.0,0.0087267495805445,0.0031373872688895,0.0820857605289077,0.0758969574832577,0.0162008520624616,-0.1936556951939023,505.0,-0.0162191152104149,0.1115824944845363,0.1031698041804253,0.0603083371257111,0.0346194490143555,-0.025892699433811,0.0009298246051207,0.0,1.0,1.0,0.004829419237856,0.004829419237856,0.0557861494755743,1.4476033686763856,0.0,0.0006711656442952,-3.065171850515433e-05,0.0002265170766984,699.0,True
