comparison,metric,mean_diff,ci_low,ci_high,n_pairs,block_size
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,cvar_95,-0.0004229753154771536,-0.0007391017519611297,-0.00010684887899317751,7,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,drawdown_duration,-1.4285714285714286,-3.0,0.14285714285714285,7,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,turnover,7.154667405237316e-05,8.972590964267549e-06,0.00013412075714047875,7,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,transaction_cost_paid,6.083289782017559e-06,4.276239964435705e-07,1.173895556759155e-05,7,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,constraint_violation_severity,7.154667405237762e-05,8.972590964270524e-06,0.00013412075714048472,7,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,optimizer_recovery_success_rate,0.0,0.0,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,turnover_adjusted_net_return,0.0018890419671079002,-0.00036597180900016117,0.004144055743215962,7,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,locked_cumulative_return,0.0018951252568899196,-0.0003650094036514094,0.004155259917431249,7,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,locked_sharpe,0.04337946604020963,0.010986498153188029,0.07577243392723124,7,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,cvar_95,0.00034457083698385363,0.0,0.0006891416739677073,7,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,drawdown_duration,-1.7142857142857142,-3.4285714285714284,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,turnover,-4.4050590320998274e-05,-8.810118064199655e-05,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,transaction_cost_paid,-6.937967975557858e-06,-1.3875935951115717e-05,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,constraint_violation_severity,-4.405059032100137e-05,-8.810118064200274e-05,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,optimizer_recovery_success_rate,0.0,0.0,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,turnover_adjusted_net_return,-0.0030728844393261997,-0.006145768878652401,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,locked_cumulative_return,-0.0030798224073017577,-0.006159644814603515,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,locked_sharpe,-0.08156315237387245,-0.16312630474774487,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,cvar_95,0.00034457083698385363,0.0,0.0006891416739677073,7,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,drawdown_duration,-1.7142857142857142,-3.4285714285714284,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,turnover,-4.4050590320998274e-05,-8.810118064199655e-05,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,transaction_cost_paid,-6.937967975557858e-06,-1.3875935951115717e-05,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,constraint_violation_severity,-4.405059032100137e-05,-8.810118064200274e-05,0.0,7,5
