arm,seed,split_id,candidate_id,selection_score,is_score,oos_score,valid_for_selection,selection_status,gate_pass,gate_reason,clean_panel_w_star_invariance,policy_specification_frozen,leakage_audit_pass,candidate_values,is_cumulative_return,is_annualized_return,is_sharpe,is_sortino,is_calmar,is_max_drawdown,is_drawdown_duration,is_cvar_95,is_downside_deviation,is_realized_volatility,is_turnover,is_transaction_cost_paid,is_turnover_adjusted_net_return,is_constraint_violation_severity,is_infeasible_optimization_events,is_optimizer_recovery_success_rate,is_failed_rebalance_retention_rate,is_cash_ratio_due_to_infeasibility,is_exposure_drift,is_herfindahl_index,is_diversification_ratio,is_asset_class_cap_violation_severity,is_high_vol_return,is_normal_vol_return,is_stress_recovery_return,is_n_days,oos_cumulative_return,oos_annualized_return,oos_sharpe,oos_sortino,oos_calmar,oos_max_drawdown,oos_drawdown_duration,oos_cvar_95,oos_downside_deviation,oos_realized_volatility,oos_turnover,oos_transaction_cost_paid,oos_turnover_adjusted_net_return,oos_constraint_violation_severity,oos_infeasible_optimization_events,oos_optimizer_recovery_success_rate,oos_failed_rebalance_retention_rate,oos_cash_ratio_due_to_infeasibility,oos_exposure_drift,oos_herfindahl_index,oos_diversification_ratio,oos_asset_class_cap_violation_severity,oos_high_vol_return,oos_normal_vol_return,oos_stress_recovery_return,oos_n_days,chosen
Fixed Safe Portfolio Harness,0,0,Fixed Safe Portfolio Harness-0-0,0.21619496973780988,0.08881237818886537,-0.14653770427147314,True,VALID_SELECTED,True,VALID,True,True,True,"{'covariance_estimator': 'ledoit_wolf_0_20', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'previous_weights', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'scale_trades', 'cost_accounting': 'conservative', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': False, 'risk_aversion_lambda': 3.0, 'objective_return_weight': 1.0, 'max_weight': 0.18, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.0, 'rebalance_frequency': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.10447487818886536,0.10447487818886536,1.05407782049835,0.9781749364562102,2.483580600389332,-0.04206623218609762,44.0,-0.014711736089852349,0.1066147319011986,0.09893753248070937,0.06805555555555556,0.0156625,0.08881237818886537,6.8287527308293355e-18,0.0,1.0,1.0,0.06772466603165038,0.06772466603165038,0.053806834966492106,1.4815789279073888,0.0,0.002586067148132092,0.0003788047984283164,0.00032379319377068765,252.0,-0.13436313798104937,-0.2506728231139842,-1.912400067390164,-1.6686402315227136,-1.7271500840886682,-0.1451366765536487,63.0,-0.024540570654827044,0.1664871476972661,0.1452662324250194,0.07729883358999212,0.01217456629042376,-0.14653770427147314,0.0050766113677699004,0.0,1.0,1.0,0.05168016378178328,0.05168016378178328,0.059808654013554764,1.5698675972402178,0.0,-0.0008541723823140778,-0.0014556696163138354,-0.001102409336028263,126.0,True
Same-Budget Safe Configuration Search,0,0,Same-Budget Safe Configuration Search-0-0,0.2297372938329304,0.10759926233519548,-0.15068771073329285,True,VALID_SELECTED,True,VALID,True,True,True,"{'covariance_estimator': 'sample_then_diagonal', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'previous_weights', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'scale_trades', 'cost_accounting': 'strict', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': False, 'risk_aversion_lambda': 3.0, 'objective_return_weight': 1.0, 'max_weight': 0.18, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.0, 'rebalance_frequency': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.12326176233519548,0.12326176233519548,1.1579021727808039,1.1014128876946379,2.972241618227335,-0.04147097651122644,35.0,-0.015311968274716547,0.11058373782738073,0.10518881203928716,0.06805555555555555,0.0156625,0.10759926233519548,3.744799884648345e-18,0.0,1.0,1.0,0.06589691636747803,0.06589691636747803,0.05546812779969854,1.4767787153542886,0.0,0.00211423459064147,0.0004570218372982106,0.0003672853707164419,252.0,-0.13852026269856532,-0.2578526622190511,-1.7350301928993237,-1.5637989107617212,-1.734986079142325,-0.14861944157299423,64.0,-0.026293857575663975,0.18194451982467427,0.16398829431632822,0.0772536383157302,0.01216744803472751,-0.15068771073329285,0.005031416093508005,0.0,1.0,1.0,0.018479934089944944,0.018479934089944944,0.060180530470607195,1.5324589409064875,0.0,-0.0008231555128590928,-0.0015644002501706176,-0.0011290660393686112,126.0,True
Random Legal Harness Patch,0,0,Random Legal Harness Patch-0-1,0.0,0.10759926233519548,-0.15068771073329285,True,VALID_SELECTED,True,VALID,True,True,True,"{'covariance_estimator': 'sample_then_diagonal', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'previous_weights', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'scale_trades', 'cost_accounting': 'conservative', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': False, 'risk_aversion_lambda': 3.0, 'objective_return_weight': 1.0, 'max_weight': 0.18, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.0, 'rebalance_frequency': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.12326176233519548,0.12326176233519548,1.1579021727808039,1.1014128876946379,2.972241618227335,-0.04147097651122644,35.0,-0.015311968274716547,0.11058373782738073,0.10518881203928716,0.06805555555555555,0.0156625,0.10759926233519548,3.744799884648345e-18,0.0,1.0,1.0,0.06589691636747803,0.06589691636747803,0.05546812779969854,1.4767787153542886,0.0,0.00211423459064147,0.0004570218372982106,0.0003672853707164419,252.0,-0.13852026269856532,-0.2578526622190511,-1.7350301928993237,-1.5637989107617212,-1.734986079142325,-0.14861944157299423,64.0,-0.026293857575663975,0.18194451982467427,0.16398829431632822,0.0772536383157302,0.01216744803472751,-0.15068771073329285,0.005031416093508005,0.0,1.0,1.0,0.018479934089944944,0.018479934089944944,0.060180530470607195,1.5324589409064875,0.0,-0.0008231555128590928,-0.0015644002501706176,-0.0011290660393686112,126.0,True
TASE Typed Portfolio Harness Reconstruction,0,0,TASE Typed Portfolio Harness Reconstruction-0-3,0.2297372938329304,0.10759926233519548,-0.15068771073329285,True,VALID_SELECTED,True,VALID,True,True,True,"{'covariance_estimator': 'sample_then_diagonal', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'previous_weights', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'scale_trades', 'cost_accounting': 'strict', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': False, 'risk_aversion_lambda': 3.0, 'objective_return_weight': 1.0, 'max_weight': 0.18, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.0, 'rebalance_frequency': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.12326176233519548,0.12326176233519548,1.1579021727808039,1.1014128876946379,2.972241618227335,-0.04147097651122644,35.0,-0.015311968274716547,0.11058373782738073,0.10518881203928716,0.06805555555555555,0.0156625,0.10759926233519548,3.744799884648345e-18,0.0,1.0,1.0,0.06589691636747803,0.06589691636747803,0.05546812779969854,1.4767787153542886,0.0,0.00211423459064147,0.0004570218372982106,0.0003672853707164419,252.0,-0.13852026269856532,-0.2578526622190511,-1.7350301928993237,-1.5637989107617212,-1.734986079142325,-0.14861944157299423,64.0,-0.026293857575663975,0.18194451982467427,0.16398829431632822,0.0772536383157302,0.01216744803472751,-0.15068771073329285,0.005031416093508005,0.0,1.0,1.0,0.018479934089944944,0.018479934089944944,0.060180530470607195,1.5324589409064875,0.0,-0.0008231555128590928,-0.0015644002501706176,-0.0011290660393686112,126.0,True
Unconstrained Portfolio Harness Search,0,0,,,,,False,NO_VALID_CANDIDATE,False,NO_VALID_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
Portfolio Strategy Tuning Baseline,0,0,Portfolio Strategy Tuning Baseline-0-6,0.2607797611200909,0.1251730750278808,-0.10532234595852533,False,STRATEGY_SELECTED,False,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,False,False,True,"{'covariance_estimator': 'ledoit_wolf_0_20', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'previous_weights', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'scale_trades', 'cost_accounting': 'conservative', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': True, 'risk_aversion_lambda': 1.0, 'objective_return_weight': 1.0, 'max_weight': 0.18, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.0, 'rebalance_frequency': 'M', 'momentum_window': 60, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.1274480750278808,0.1274480750278808,1.5774673100030434,1.5102929093996542,2.9797450259528513,-0.04277147001432646,32.0,-0.011177317479800152,0.08146055705479519,0.07799166482592008,0.009722222222222222,0.002275,0.1251730750278808,1.101411730778925e-18,0.0,1.0,1.0,0.33362950460784757,0.33362950460784757,0.020692507777403175,1.4679996860065383,0.0,0.0007934692424741757,0.00048328800300688067,0.000502190408229425,252.0,-0.10159694959380894,-0.19287195902085097,-1.3085846513382973,-1.1980910008899017,-1.5330873541601335,-0.12580624221932313,64.0,-0.02418550338935947,0.1687680898845844,0.15451772991629392,0.023653310252167513,0.0037253963647163836,-0.10532234595852533,0.00420886580772307,0.0,1.0,1.0,0.07489718041053889,0.07489718041053889,0.039208710889088,1.4672890299564014,0.0,-0.0004256671036999416,-0.001338469215197185,-0.0008023790862226136,126.0,True
Equal Weight ETF Portfolio,0,0,Equal Weight ETF Portfolio-0-0,,,-0.1392953196308299,True,PASSIVE,True,PASSIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1380453196308299,-0.2570341289896818,-1.6196072201715708,-1.4863830166197551,-1.6681539975664694,-0.15408297397281512,122.0,-0.02573130675560455,0.18955445698995957,0.17396225583917124,0.007936507936507936,0.00125,-0.1392953196308299,0.005158730158730159,0.0,1.0,1.0,0.0,0.0,0.025641025641025616,1.4283696464346238,0.0,-0.0006899510491886834,-0.0017272862530243321,-0.0011180576412478402,126.0,True
Risk Parity Fixed Portfolio,0,0,Risk Parity Fixed Portfolio-0-0,,,-0.1189458238440815,True,PASSIVE,True,PASSIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1176958238440815,-0.221539340737826,-1.9582047991661549,-1.824549038627432,-1.6966850151517259,-0.13057187324661723,122.0,-0.01867966219994974,0.13297274866620537,0.12389679610931549,0.007936507936507936,0.0012499999999999998,-0.1189458238440815,0.005158730158730158,0.0,1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.05096194099190634,1.459869945177562,0.0,-0.0006281831130532154,-0.0014388865385643874,-0.0009627591299308419,126.0,True
60/40 Portfolio,0,0,60/40 Portfolio-0-0,,,-0.16367075184612925,True,PASSIVE,True,PASSIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16242075184612925,-0.29846100306199663,-2.2237613170089667,-2.104236775552936,-1.613992360244852,-0.18492095155687005,125.0,-0.022688748849021865,0.16269094505442205,0.15394649912043443,0.007936507936507936,0.00125,-0.16367075184612925,0.6951587301587301,0.0,1.0,1.0,0.0,0.0,0.5199999999999999,1.2215305087516255,0.049999999999999926,-0.0008540220202905072,-0.002076394332980595,-0.0013584931334641942,126.0,True
Fixed Safe Portfolio Harness,0,1,Fixed Safe Portfolio Harness-0-0,0.17902238423128977,0.05668409678826393,-0.2241423787652908,True,VALID_SELECTED,True,VALID,True,True,True,"{'covariance_estimator': 'ledoit_wolf_0_20', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'previous_weights', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'scale_trades', 'cost_accounting': 'conservative', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': False, 'risk_aversion_lambda': 3.0, 'objective_return_weight': 1.0, 'max_weight': 0.18, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.0, 'rebalance_frequency': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.07641971288917437,0.07641971288917437,0.8263090963750117,0.8190065239319145,1.4085756698334209,-0.05425318250613531,54.0,-0.013010657902894067,0.09538431988782962,0.09454135336480311,0.07329854048341622,0.019735616100910444,0.05668409678826393,0.0024652071500828984,0.0,1.0,1.0,0.029483785226314254,0.029483785226314254,0.05872309310137297,1.772048998745391,0.0,0.0012920235490357474,0.00021606896604415082,0.0002647044908609562,252.0,-0.21494506976740124,-0.38368875651748946,-2.78823664589483,-2.483492060713586,-1.7324401156842917,-0.22147302700038052,123.0,-0.02594706213757406,0.18897078194207959,0.16831693154559269,0.07672894601834644,0.009197308997889566,-0.2241423787652908,0.004506723796124226,0.0,1.0,1.0,0.033930052407010414,0.033930052407010414,0.055400128154240516,1.3341024226513865,0.0,-0.001957165720983076,-0.001697401318507618,-0.002130097194626645,126.0,True
