comparison,metric,mean_diff,ci_low,ci_high,n_pairs,block_size
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,cvar_95,-0.0004184576943817,-0.0007149389283171,-8.803754898808107e-05,7,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,drawdown_duration,-1.4285714285714286,-3.0,0.1428571428571428,7,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,turnover,7.13043280917405e-05,1.2984389378864084e-05,0.0001369744368243,7,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,transaction_cost_paid,6.322746061664406e-06,4.311987476975088e-07,1.1858980933823636e-05,7,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,constraint_violation_severity,7.130432809172959e-05,1.2984389378857392e-05,0.000129808021055,7,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,optimizer_recovery_success_rate,0.0,0.0,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Fixed Safe Portfolio Harness,turnover_adjusted_net_return,0.0018012140511059,-0.0011290215465387,0.0047314496487507,7,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,cvar_95,0.0003183486517922,0.0,0.0006366973035845,7,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,drawdown_duration,-1.7142857142857142,-3.4285714285714284,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,turnover,-3.999766948388098e-05,-7.999533896776196e-05,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,transaction_cost_paid,-6.299632943711245e-06,-1.259926588742249e-05,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,constraint_violation_severity,-3.999766948388061e-05,-7.999533896776122e-05,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,optimizer_recovery_success_rate,0.0,0.0,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,turnover_adjusted_net_return,-0.0031949335364788,-0.0063898670729576,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,cvar_95,0.0003183486517922,0.0,0.0006366973035845,7,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,drawdown_duration,-1.7142857142857142,-3.4285714285714284,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,turnover,-3.999766948388098e-05,-7.999533896776196e-05,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,transaction_cost_paid,-6.299632943711245e-06,-1.259926588742249e-05,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,constraint_violation_severity,-3.999766948388061e-05,-7.999533896776122e-05,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,optimizer_recovery_success_rate,0.0,0.0,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,turnover_adjusted_net_return,-0.0031949335364788,-0.0063898670729576,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,cvar_95,-0.0048621524971811,-0.0057522361464605,-0.0039720688479017,7,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,drawdown_duration,-6.571428571428571,-18.428571428571427,5.285714285714286,7,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,turnover,0.070163826313369,0.0696613862982336,0.070660287413825,7,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,transaction_cost_paid,0.0059065083051538,0.0044746730658232,0.007360570191203,7,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,constraint_violation_severity,-0.0001568086072658,-0.000221171953277,-0.0001064558266674,7,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,optimizer_recovery_success_rate,0.0,0.0,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,turnover_adjusted_net_return,-0.028766639904833,-0.0439096289601407,-0.0136236508495252,7,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,cvar_95,-3.523983728560435e-05,-0.0004233249461986,0.0003527112343813,7,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,drawdown_duration,-6.571428571428571,-18.571428571428573,5.428571428571429,7,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,turnover,0.070163826313369,0.0696673652129129,0.0706411711747352,7,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,transaction_cost_paid,0.0059065083051538,0.0044741173996552,0.007360570191203,7,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,constraint_violation_severity,-0.0001568086072658,-0.0002242574089552,-8.935980557650101e-05,7,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,optimizer_recovery_success_rate,0.0,0.0,0.0,7,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,turnover_adjusted_net_return,-0.0321734808608507,-0.0379908374183523,-0.0263854583635133,7,5
