arm,seed,split_id,candidate_id,selection_score,is_score,oos_score,valid_for_selection,selection_status,gate_pass,gate_reason,clean_panel_w_star_invariance,policy_specification_frozen,leakage_audit_pass,candidate_values,is_cumulative_return,is_annualized_return,is_sharpe,is_sortino,is_calmar,is_max_drawdown,is_drawdown_duration,is_cvar_95,is_downside_deviation,is_realized_volatility,is_turnover,is_transaction_cost_paid,is_turnover_adjusted_net_return,is_constraint_violation_severity,is_infeasible_optimization_events,is_optimizer_recovery_success_rate,is_failed_rebalance_retention_rate,is_cash_ratio_due_to_infeasibility,is_exposure_drift,is_herfindahl_index,is_diversification_ratio,is_asset_class_cap_violation_severity,is_high_vol_return,is_normal_vol_return,is_stress_recovery_return,is_n_days,oos_cumulative_return,oos_annualized_return,oos_sharpe,oos_sortino,oos_calmar,oos_max_drawdown,oos_drawdown_duration,oos_cvar_95,oos_downside_deviation,oos_realized_volatility,oos_turnover,oos_transaction_cost_paid,oos_turnover_adjusted_net_return,oos_constraint_violation_severity,oos_infeasible_optimization_events,oos_optimizer_recovery_success_rate,oos_failed_rebalance_retention_rate,oos_cash_ratio_due_to_infeasibility,oos_exposure_drift,oos_herfindahl_index,oos_diversification_ratio,oos_asset_class_cap_violation_severity,oos_high_vol_return,oos_normal_vol_return,oos_stress_recovery_return,oos_n_days,chosen
Fixed Safe Portfolio Harness,0,0,Fixed Safe Portfolio Harness-0-0,0.2159526147291595,0.0862726643965558,-0.1444064359137723,True,VALID_SELECTED,True,VALID,True,True,True,"{'covariance_estimator': 'ledoit_wolf_0_20', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'previous_weights', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'scale_trades', 'cost_accounting': 'conservative', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': False, 'risk_aversion_lambda': 3.0, 'objective_return_weight': 1.0, 'max_weight': 0.18, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.02, 'rebalance_frequency': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.1019351643965558,0.1019351643965558,1.0473344836995186,0.967110893232194,2.4611325112945224,-0.0414179910788059,44.0,-0.0144569165663045,0.1052780723872529,0.0972139963009284,0.0680555555555555,0.0156625,0.0862726643965558,5.72734100005041e-18,0.0,1.0,1.0,0.0843075719800533,0.0643075719800533,0.0524696427520333,1.480852201621711,0.0,0.0025531810376689,0.0003693663164255,0.0003145989875413,252.0,-0.1322550665172495,-0.2470187304150168,-1.9154988964419464,-1.6703686980558166,-1.7254317955494674,-0.1431634278747907,63.0,-0.0241258957044273,0.1636295585172132,0.1426895589089311,0.0771515517239543,0.0121513693965228,-0.1444064359137723,0.0049293295017321,0.0,1.0,1.0,0.0675500189361532,0.0475500189361533,0.0585119360088828,1.5702122942522203,0.0,-0.0008418839017732,-0.0014300276457827,-0.0010846098913644,126.0,True
Same-Budget Safe Configuration Search,0,0,Same-Budget Safe Configuration Search-0-0,0.229696010041724,0.1050486743948341,-0.1485265160200654,True,VALID_SELECTED,True,VALID,True,True,True,"{'covariance_estimator': 'sample_then_diagonal', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'previous_weights', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'scale_trades', 'cost_accounting': 'strict', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': False, 'risk_aversion_lambda': 3.0, 'objective_return_weight': 1.0, 'max_weight': 0.18, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.02, 'rebalance_frequency': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.1207111743948341,0.1207111743948341,1.153866871983638,1.0975919402946452,2.971754387693488,-0.0406194990052739,35.0,-0.0150568817216642,0.1087289281577671,0.1034261387690945,0.0680555555555555,0.0156625,0.1050486743948341,6.608470384673551e-18,0.0,1.0,1.0,0.0824219969025917,0.0624219969025916,0.0540639899474135,1.4757154595136095,0.0,0.002099731511029,0.0004473430208819,0.0003574898510673,252.0,-0.1363804865975245,-0.2541613360704715,-1.7400458160432135,-1.5674612386014428,-1.735799161017162,-0.1464232393807215,64.0,-0.0258333966916464,0.1786743531986478,0.1609527291688903,0.0771176471272439,0.0121460294225409,-0.1485265160200654,0.0048954249050216,0.0,1.0,1.0,0.0358734496998354,0.0158734496998354,0.058647733220725,1.5330184915593592,0.0,-0.0008126601899085,-0.0015364559121596,-0.0011113695355994,126.0,True
Random Legal Harness Patch,0,0,Random Legal Harness Patch-0-1,0.0,0.1050486743948341,-0.1485265160200654,True,VALID_SELECTED,True,VALID,True,True,True,"{'covariance_estimator': 'sample_then_diagonal', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'previous_weights', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'scale_trades', 'cost_accounting': 'conservative', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': False, 'risk_aversion_lambda': 3.0, 'objective_return_weight': 1.0, 'max_weight': 0.18, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.02, 'rebalance_frequency': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.1207111743948341,0.1207111743948341,1.153866871983638,1.0975919402946452,2.971754387693488,-0.0406194990052739,35.0,-0.0150568817216642,0.1087289281577671,0.1034261387690945,0.0680555555555555,0.0156625,0.1050486743948341,6.608470384673551e-18,0.0,1.0,1.0,0.0824219969025917,0.0624219969025916,0.0540639899474135,1.4757154595136095,0.0,0.002099731511029,0.0004473430208819,0.0003574898510673,252.0,-0.1363804865975245,-0.2541613360704715,-1.7400458160432135,-1.5674612386014428,-1.735799161017162,-0.1464232393807215,64.0,-0.0258333966916464,0.1786743531986478,0.1609527291688903,0.0771176471272439,0.0121460294225409,-0.1485265160200654,0.0048954249050216,0.0,1.0,1.0,0.0358734496998354,0.0158734496998354,0.058647733220725,1.5330184915593592,0.0,-0.0008126601899085,-0.0015364559121596,-0.0011113695355994,126.0,True
TASE Typed Portfolio Harness Reconstruction,0,0,TASE Typed Portfolio Harness Reconstruction-0-3,0.229696010041724,0.1050486743948341,-0.1485265160200654,True,VALID_SELECTED,True,VALID,True,True,True,"{'covariance_estimator': 'sample_then_diagonal', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'previous_weights', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'scale_trades', 'cost_accounting': 'strict', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': False, 'risk_aversion_lambda': 3.0, 'objective_return_weight': 1.0, 'max_weight': 0.18, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.02, 'rebalance_frequency': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.1207111743948341,0.1207111743948341,1.153866871983638,1.0975919402946452,2.971754387693488,-0.0406194990052739,35.0,-0.0150568817216642,0.1087289281577671,0.1034261387690945,0.0680555555555555,0.0156625,0.1050486743948341,6.608470384673551e-18,0.0,1.0,1.0,0.0824219969025917,0.0624219969025916,0.0540639899474135,1.4757154595136095,0.0,0.002099731511029,0.0004473430208819,0.0003574898510673,252.0,-0.1363804865975245,-0.2541613360704715,-1.7400458160432135,-1.5674612386014428,-1.735799161017162,-0.1464232393807215,64.0,-0.0258333966916464,0.1786743531986478,0.1609527291688903,0.0771176471272439,0.0121460294225409,-0.1485265160200654,0.0048954249050216,0.0,1.0,1.0,0.0358734496998354,0.0158734496998354,0.058647733220725,1.5330184915593592,0.0,-0.0008126601899085,-0.0015364559121596,-0.0011113695355994,126.0,True
Unconstrained Portfolio Harness Search,0,0,,,,,False,NO_VALID_CANDIDATE,False,NO_VALID_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
Portfolio Strategy Tuning Baseline,0,0,Portfolio Strategy Tuning Baseline-0-6,0.2609570103027599,0.1238856390630267,-0.1034919857689242,False,STRATEGY_SELECTED,False,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,False,False,True,"{'covariance_estimator': 'ledoit_wolf_0_20', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'previous_weights', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'scale_trades', 'cost_accounting': 'conservative', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': True, 'risk_aversion_lambda': 1.0, 'objective_return_weight': 1.0, 'max_weight': 0.18, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.02, 'rebalance_frequency': 'M', 'momentum_window': 60, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.1261606390630267,0.1261606390630267,1.5783475839037269,1.5112007763592057,2.991328400934051,-0.0421754559023451,32.0,-0.011064492712508,0.0806136789119321,0.0771841737518789,0.0097222222222222,0.002275,0.1238856390630267,8.811293846231399e-19,0.0,1.0,1.0,0.3399917535779075,0.3199917535779076,0.0203532317471966,1.4691976143989658,0.0,0.0007934692424741,0.0004784257144636,0.0004950187005667,252.0,-0.0997818440011123,-0.1896072716099623,-1.3071577442947746,-1.196812471780928,-1.5331432635069595,-0.1236722465037277,64.0,-0.0237707875035442,0.1659143079096594,0.1519084546756911,0.0235564556686469,0.0037101417678119,-0.1034919857689242,0.0041120112242025,0.0,1.0,1.0,0.0889820595757146,0.0689820595757146,0.0383478922444695,1.4687682113453453,0.0,-0.0004145065987568,-0.0013194359263188,-0.0007879694958459,126.0,True
Equal Weight ETF Portfolio,0,0,Equal Weight ETF Portfolio-0-0,,,-0.1365749297560178,True,PASSIVE,True,PASSIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1353499297560177,-0.2523802560270766,-1.6196072201715703,-1.4863830166197554,-1.6699970936667985,-0.1511261648203994,122.0,-0.0252166806204924,0.1857633678501603,0.1704830107223878,0.0077777777777777,0.001225,-0.1365749297560178,0.005,0.0,1.0,1.0,0.02,0.0,0.024625641025641,1.4283696464346234,0.0,-0.0006761520282049,-0.0016927405279638,-0.0010956964884228,126.0,True
Risk Parity Fixed Portfolio,0,0,Risk Parity Fixed Portfolio-0-0,,,-0.1166403803696137,True,PASSIVE,True,PASSIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1154153803696137,-0.2175100507133648,-1.9582047991661555,-1.8245490386274328,-1.6983433276630686,-0.1280718964007472,122.0,-0.0183060689559507,0.1303132936928812,0.1214188601871291,0.0077777777777777,0.001225,-0.1166403803696137,0.005,0.0,1.0,1.0,0.0199999999999997,2.220446049250313e-16,0.0489438481286268,1.4598699451775612,0.0,-0.0006156194507921,-0.001410108807793,-0.0009435039473322,126.0,True
60/40 Portfolio,0,0,60/40 Portfolio-0-0,,,-0.1636707518461292,True,PASSIVE,True,PASSIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1624207518461292,-0.2984610030619966,-2.2237613170089667,-2.104236775552936,-1.613992360244852,-0.18492095155687,125.0,-0.0226887488490218,0.162690945054422,0.1539464991204344,0.0079365079365079,0.00125,-0.1636707518461292,0.6951587301587301,0.0,1.0,1.0,0.0,0.02,0.5199999999999999,1.2215305087516255,0.0499999999999999,-0.0008540220202905,-0.0020763943329805,-0.0013584931334641,126.0,True
Fixed Safe Portfolio Harness,0,1,Fixed Safe Portfolio Harness-0-0,0.1796083514328152,0.0550462223556772,-0.2217676158989942,True,VALID_SELECTED,True,VALID,True,True,True,"{'covariance_estimator': 'ledoit_wolf_0_20', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'previous_weights', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'scale_trades', 'cost_accounting': 'conservative', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': False, 'risk_aversion_lambda': 3.0, 'objective_return_weight': 1.0, 'max_weight': 0.18, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.02, 'rebalance_frequency': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.0747726978280456,0.0747726978280456,0.8235591993881799,0.8129723478748659,1.4088635096927806,-0.0530730601748289,54.0,-0.01276024901593,0.0940073597931724,0.0927988954107354,0.0732259958124471,0.0197264754723683,0.0550462223556772,0.0023926624791138,0.0,1.0,1.0,0.0470702034377507,0.0270702034377507,0.0572939318306026,1.7722515630985205,0.0,0.0012835085225495,0.0002095138978803,0.0002598134193538,252.0,-0.2125843744684428,-0.3799766326687465,-2.8015161615495483,-2.493476102356296,-1.7346853045772466,-0.2190464354924302,123.0,-0.0255181510068059,0.1859971607599583,0.1655458861263742,0.0766396281304853,0.0091832414305514,-0.2217676158989942,0.004417405908263,0.0,1.0,1.0,0.050294765884302,0.030294765884302,0.0542205957952983,1.3334290055537166,0.0,-0.0019365032405995,-0.0016732495322299,-0.0021024584466963,126.0,True
Same-Budget Safe Configuration Search,0,1,Same-Budget Safe Configuration Search-0-0,0.1700122726940534,0.0600050667904375,-0.2098125304031637,True,VALID_SELECTED,True,VALID,True,True,True,"{'covariance_estimator': 'sample_then_diagonal', 'solver': 'projected_closed_form', 'solver_tolerance': 1e-08, 'retry_policy': 'retry_then_fallback', 'fallback_policy': 'previous_weights', 'constraint_repair': 'clip_scale_turnover', 'missing_policy': 'past_only_impute', 'stale_policy': 'stale_asset_to_cash', 'turnover_enforcement': 'scale_trades', 'cost_accounting': 'strict', 'exposure_monitoring': 'full_audit', 'retain_failed_rebalance': True, 'allow_future_returns': False, 'ignore_infeasible_days': False, 'allow_policy_change': False, 'risk_aversion_lambda': 3.0, 'objective_return_weight': 1.0, 'max_weight': 0.18, 'turnover_cap': 0.35, 'asset_class_cap': 0.55, 'min_cash_buffer': 0.02, 'rebalance_frequency': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.5, 'universe_token': 'fixed'}",0.0797431801186998,0.0797431801186998,0.7994198001526587,0.7974766228206458,1.2772590004036355,-0.062433053980046,57.0,-0.0138553705870952,0.1028160995102986,0.1025661808644304,0.0733183597481131,0.0197381133282622,0.0600050667904375,0.0024850264147798,0.0,1.0,1.0,0.0360552978132121,0.0160552978132121,0.0585106057323373,1.703378543746273,0.0,0.0011959397167952,0.0002420989653894,0.0002612026007043,252.0,-0.2005738002930785,-0.3609177512221494,-2.389290379751647,-2.1872354273890178,-1.7243590929950323,-0.2093054472750642,123.0,-0.0271620865040912,0.1970480570553149,0.180384307802033,0.0769919372068901,0.0092387301100852,-0.2098125304031637,0.0047697149846679,0.0,1.0,1.0,0.0279027809815374,0.0079027809815374,0.0587474671366382,1.3242079766032413,0.0,-0.0017548231149078,-0.001632812966351,-0.0020420415306053,126.0,True
