arm,seed,split_id,candidate_id,selection_score,is_score,oos_score,dsr,leakage_audit_pass,pi_invariance_pass,constraint_violations,candidate_values,is_cumulative_return,is_annualized_return,is_sharpe,is_max_drawdown,is_calmar,is_sortino,is_turnover,is_cost_paid,is_leakage_violations,is_pi_invariance_pass,is_constraint_violations,is_n_days,oos_cumulative_return,oos_annualized_return,oos_sharpe,oos_max_drawdown,oos_calmar,oos_sortino,oos_turnover,oos_cost_paid,oos_leakage_violations,oos_pi_invariance_pass,oos_constraint_violations,oos_n_days,chosen,effective_start_date,effective_end_date
MetaHarness Unconstrained,0,0,MetaHarness Unconstrained-0-59,594.859986073879,16.04747056547874,23.670528901869908,596.5492129886965,False,True,2,"{'missing_policy': 'ffill_one', 'data_sanitizer': 'raw', 'control_flow': 'skip_errors', 'logging': 'normal', 'cost_accounting': 'strict', 'execution_accounting': 'next_close', 'risk_floor': 0.0, 'audit_strictness': 'strict', 'failed_run_retention': 'keep', 'allow_future_features': True, 'allow_weight_change': True, 'rebalance': 'D', 'momentum_window': 20, 'volatility_penalty': 0.25, 'top_k': 3, 'threshold': -999.0, 'policy_risk_rule': 'none'}",16419317.684819903,19.024098174421905,16.04747056547874,-0.0023342912266313,8149.839213454167,293.62551946558585,1.039226914817466,0.7259,1.0,False,2.0,1397.0,206.17165787634,5.859117787768367,23.670528901869908,-0.0042250686666067,1386.7509027904,154.88613033099836,1.0169054441260743,0.3549,1,False,2,698,True,2007-05-10,2024-12-30
Constrained Safe Search,0,0,Constrained Safe Search-0-0,5.736356339950116,0.2347269926816909,0.3794258882481828,5.736356339950116,True,True,0,"{'missing_policy': 'strict', 'data_sanitizer': 'timestamp_guarded', 'control_flow': 'fail_closed', 'logging': 'minimal', 'cost_accounting': 'strict', 'execution_accounting': 'next_close', 'risk_floor': 0.0, 'audit_strictness': 'strict', 'failed_run_retention': 'keep', 'allow_future_features': False, 'allow_weight_change': False, 'rebalance': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.25, 'top_k': 6, 'threshold': -999.0, 'policy_risk_rule': 'none'}",0.1609732949141964,0.0272899938618369,0.2347269926816909,-0.3091743409767172,0.0882673309034143,0.3137555780513831,0.1751371987592459,0.1223333333333333,0.0,True,0.0,1397.0,0.1060947107630152,0.0370755755552876,0.3794258882481828,-0.132459156990317,0.2799019440988733,0.5211314922590069,0.1728748806112703,0.0603333333333333,0,True,0,698,True,2007-05-10,2024-12-30
Random Legal Patch,0,0,Random Legal Patch-0-0,1.0,0.2347269926816909,0.3794258882481828,5.736356339950116,True,True,0,"{'missing_policy': 'strict', 'data_sanitizer': 'timestamp_guarded', 'control_flow': 'fail_closed', 'logging': 'normal', 'cost_accounting': 'strict', 'execution_accounting': 'strict', 'risk_floor': 0.05, 'audit_strictness': 'paranoid', 'failed_run_retention': 'keep', 'allow_future_features': False, 'allow_weight_change': False, 'rebalance': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.25, 'top_k': 6, 'threshold': -999.0, 'policy_risk_rule': 'none'}",0.1609732949141964,0.0272899938618369,0.2347269926816909,-0.3091743409767172,0.0882673309034143,0.3137555780513831,0.1751371987592459,0.1223333333333333,0.0,True,0.0,1397.0,0.1060947107630152,0.0370755755552876,0.3794258882481828,-0.132459156990317,0.2799019440988733,0.5211314922590069,0.1728748806112703,0.0603333333333333,0,True,0,698,True,2007-05-10,2024-12-30
TASE Typed Harness,0,0,TASE Typed Harness-0-0,5.736356339950116,0.2347269926816909,0.3794258882481828,5.736356339950116,True,True,0,"{'missing_policy': 'strict', 'data_sanitizer': 'timestamp_guarded', 'control_flow': 'fail_closed', 'logging': 'minimal', 'cost_accounting': 'strict', 'execution_accounting': 'next_close', 'risk_floor': 0.0, 'audit_strictness': 'strict', 'failed_run_retention': 'keep', 'allow_future_features': False, 'allow_weight_change': False, 'rebalance': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.25, 'top_k': 6, 'threshold': -999.0, 'policy_risk_rule': 'none'}",0.1609732949141964,0.0272899938618369,0.2347269926816909,-0.3091743409767172,0.0882673309034143,0.3137555780513831,0.1751371987592459,0.1223333333333333,0.0,True,0.0,1397.0,0.1060947107630152,0.0370755755552876,0.3794258882481828,-0.132459156990317,0.2799019440988733,0.5211314922590069,0.1728748806112703,0.0603333333333333,0,True,0,698,True,2007-05-10,2024-12-30
Lightweight Strategy Evolution,0,0,Lightweight Strategy Evolution-0-57,14.819762218051906,0.4912209704262443,0.4730766388050105,15.319762218051906,True,True,1,"{'missing_policy': 'strict', 'data_sanitizer': 'timestamp_guarded', 'control_flow': 'fail_closed', 'logging': 'normal', 'cost_accounting': 'strict', 'execution_accounting': 'next_close', 'risk_floor': 0.0, 'audit_strictness': 'strict', 'failed_run_retention': 'keep', 'allow_future_features': False, 'allow_weight_change': True, 'rebalance': 'M', 'momentum_window': 20, 'volatility_penalty': 0.25, 'top_k': 6, 'threshold': -999.0, 'policy_risk_rule': 'none'}",0.6319131747115851,0.0923647700138965,0.4912209704262443,-0.2903794204075203,0.3180830441918757,0.6188875125693466,0.0498687664041994,0.0348333333333333,0.0,False,1.0,1397.0,0.1463798503478057,0.050556645513714,0.4730766388050105,-0.1691099579077062,0.2989572355124467,0.6847045758748584,0.0558739255014326,0.0195,0,False,1,698,True,2007-05-10,2024-12-30
SHARP-style Policy Baseline,0,0,SHARP-style Policy Baseline-0-0,5.736356339950116,0.2347269926816909,0.3794258882481828,5.736356339950116,True,True,0,"{'missing_policy': 'strict', 'data_sanitizer': 'timestamp_guarded', 'control_flow': 'fail_closed', 'logging': 'normal', 'cost_accounting': 'strict', 'execution_accounting': 'next_close', 'risk_floor': 0.0, 'audit_strictness': 'strict', 'failed_run_retention': 'keep', 'allow_future_features': False, 'allow_weight_change': False, 'rebalance': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.25, 'top_k': 6, 'threshold': -999.0, 'policy_risk_rule': 'none'}",0.1609732949141964,0.0272899938618369,0.2347269926816909,-0.3091743409767172,0.0882673309034143,0.3137555780513831,0.1751371987592459,0.1223333333333333,0.0,True,0.0,1397.0,0.1060947107630152,0.0370755755552876,0.3794258882481828,-0.132459156990317,0.2799019440988733,0.5211314922590069,0.1728748806112703,0.0603333333333333,0,True,0,698,True,2007-05-10,2024-12-30
Equal Weight Buy Hold,0,0,Equal Weight Buy Hold-0-0,,,0.3765783990236458,8.765388713503102,True,True,0,,,,,,,,,,,,,,0.1050704327922109,0.0367287512106935,0.3765783990236458,-0.1324591569903174,0.2772835947716197,0.5162243221192362,0.1709646609360076,0.0596666666666666,0,False,1,698,True,2007-05-10,2024-12-30
60/40 Proxy,0,0,60/40 Proxy-0-0,,,0.3765783990236458,8.765388713503102,True,True,0,,,,,,,,,,,,,,0.1050704327922109,0.0367287512106935,0.3765783990236458,-0.1324591569903174,0.2772835947716197,0.5162243221192362,0.1709646609360076,0.0596666666666666,0,False,1,698,True,2007-05-10,2024-12-30
MetaHarness Unconstrained,0,1,MetaHarness Unconstrained-0-59,552.8089230230136,14.927006439284336,22.97534427661212,554.4854273210078,False,True,2,"{'missing_policy': 'ffill_one', 'data_sanitizer': 'raw', 'control_flow': 'skip_errors', 'logging': 'normal', 'cost_accounting': 'strict', 'execution_accounting': 'next_close', 'risk_floor': 0.0, 'audit_strictness': 'strict', 'failed_run_retention': 'keep', 'allow_future_features': True, 'allow_weight_change': True, 'rebalance': 'D', 'momentum_window': 20, 'volatility_penalty': 0.25, 'top_k': 3, 'threshold': -999.0, 'policy_risk_rule': 'none'}",2328701.7954173614,13.104718727159224,14.927006439284336,-0.0042250686666067,3101.658164927262,245.3428200959218,1.0265042979942691,0.7164999999999999,1.0,False,2.0,1396.0,444.5144748608701,8.014766362169862,22.97534427661212,-0.0024941601162943,3213.4129279870403,179.0279276974058,1.0085836909871244,0.3525,1,False,2,699,True,2007-05-10,2024-12-30
Constrained Safe Search,0,1,Constrained Safe Search-0-0,8.944568263230245,0.3207076825749761,-0.1328294930676892,8.944568263230245,True,True,0,"{'missing_policy': 'strict', 'data_sanitizer': 'timestamp_guarded', 'control_flow': 'fail_closed', 'logging': 'minimal', 'cost_accounting': 'strict', 'execution_accounting': 'next_close', 'risk_floor': 0.0, 'audit_strictness': 'strict', 'failed_run_retention': 'keep', 'allow_future_features': False, 'allow_weight_change': False, 'rebalance': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.25, 'top_k': 6, 'threshold': -999.0, 'policy_risk_rule': 'none'}",0.2636584532444892,0.0431476012315501,0.3207076825749761,-0.2094671147244491,0.2059874710563048,0.4162447825398054,0.1781279847182426,0.1243333333333333,0.0,True,0.0,1396.0,-0.0600172069744197,-0.0220665046189509,-0.1328294930676892,-0.1825606122299985,-0.1208722097795693,-0.1799080054980402,0.1707200762994754,0.0596666666666666,0,True,0,699,True,2007-05-10,2024-12-30
Random Legal Patch,0,1,Random Legal Patch-0-0,1.0,0.3207076825749761,-0.1328294930676892,8.944568263230245,True,True,0,"{'missing_policy': 'strict', 'data_sanitizer': 'timestamp_guarded', 'control_flow': 'fail_closed', 'logging': 'normal', 'cost_accounting': 'strict', 'execution_accounting': 'strict', 'risk_floor': 0.05, 'audit_strictness': 'paranoid', 'failed_run_retention': 'keep', 'allow_future_features': False, 'allow_weight_change': False, 'rebalance': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.25, 'top_k': 6, 'threshold': -999.0, 'policy_risk_rule': 'none'}",0.2636584532444892,0.0431476012315501,0.3207076825749761,-0.2094671147244491,0.2059874710563048,0.4162447825398054,0.1781279847182426,0.1243333333333333,0.0,True,0.0,1396.0,-0.0600172069744197,-0.0220665046189509,-0.1328294930676892,-0.1825606122299985,-0.1208722097795693,-0.1799080054980402,0.1707200762994754,0.0596666666666666,0,True,0,699,True,2007-05-10,2024-12-30
TASE Typed Harness,0,1,TASE Typed Harness-0-0,8.944568263230245,0.3207076825749761,-0.1328294930676892,8.944568263230245,True,True,0,"{'missing_policy': 'strict', 'data_sanitizer': 'timestamp_guarded', 'control_flow': 'fail_closed', 'logging': 'minimal', 'cost_accounting': 'strict', 'execution_accounting': 'next_close', 'risk_floor': 0.0, 'audit_strictness': 'strict', 'failed_run_retention': 'keep', 'allow_future_features': False, 'allow_weight_change': False, 'rebalance': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.25, 'top_k': 6, 'threshold': -999.0, 'policy_risk_rule': 'none'}",0.2636584532444892,0.0431476012315501,0.3207076825749761,-0.2094671147244491,0.2059874710563048,0.4162447825398054,0.1781279847182426,0.1243333333333333,0.0,True,0.0,1396.0,-0.0600172069744197,-0.0220665046189509,-0.1328294930676892,-0.1825606122299985,-0.1208722097795693,-0.1799080054980402,0.1707200762994754,0.0596666666666666,0,True,0,699,True,2007-05-10,2024-12-30
Lightweight Strategy Evolution,0,1,Lightweight Strategy Evolution-0-33,21.815825159348623,0.6787094155977466,0.0805787378330731,22.315825159348623,True,True,1,"{'missing_policy': 'strict', 'data_sanitizer': 'timestamp_guarded', 'control_flow': 'fail_closed', 'logging': 'normal', 'cost_accounting': 'strict', 'execution_accounting': 'next_close', 'risk_floor': 0.0, 'audit_strictness': 'strict', 'failed_run_retention': 'keep', 'allow_future_features': False, 'allow_weight_change': True, 'rebalance': 'M', 'momentum_window': 10, 'volatility_penalty': 0.5, 'top_k': 6, 'threshold': -999.0, 'policy_risk_rule': 'none'}",0.947572539088022,0.1278677135059367,0.6787094155977466,-0.2505316678133406,0.5103854319973832,0.8518209623947737,0.0532473734479465,0.0371666666666666,0.0,False,1.0,1396.0,0.0062654156881323,0.0022542668501535,0.0805787378330731,-0.195911629424218,0.0115065494415965,0.1129263383090026,0.0524558893657606,0.0183333333333333,0,False,1,699,True,2007-05-10,2024-12-30
