arm,seed,split_id,candidate_id,selection_score,is_score,oos_score,dsr,leakage_audit_pass,pi_invariance_pass,constraint_violations,candidate_values,is_cumulative_return,is_annualized_return,is_sharpe,is_max_drawdown,is_calmar,is_sortino,is_turnover,is_cost_paid,is_leakage_violations,is_pi_invariance_pass,is_constraint_violations,is_n_days,oos_cumulative_return,oos_annualized_return,oos_sharpe,oos_max_drawdown,oos_calmar,oos_sortino,oos_turnover,oos_cost_paid,oos_leakage_violations,oos_pi_invariance_pass,oos_constraint_violations,oos_n_days,chosen
MetaHarness Unconstrained,0,0,MetaHarness Unconstrained-0-9,98.09824183254914,2.5488593570644387,4.422986894416597,99.59824183254914,False,True,3,"{'missing_policy': 'drop_missing', 'data_sanitizer': 'timestamp_guarded', 'control_flow': 'fail_closed', 'logging': 'normal', 'cost_accounting': 'loose', 'execution_accounting': 'next_close', 'risk_floor': 0.0, 'audit_strictness': 'strict', 'failed_run_retention': 'keep', 'allow_future_features': True, 'allow_weight_change': False, 'rebalance': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.25, 'top_k': 2, 'threshold': -999.0, 'policy_risk_rule': 'none'}",21.561714337811406,0.6351459522813041,2.5488593570644387,-0.17506198776744797,3.6281203040207157,3.644833851366283,0.23055729492798993,0.18409999999999999,1.0,False,3.0,1597.0,1.235570882832318,0.46386082805300677,4.422986894416597,-0.03259717891622105,14.230091175840366,7.1474981855101225,0.21973684210526317,0.05845,1,False,3,532,True
Constrained Safe Search,0,0,Constrained Safe Search-0-0,11.557959917195157,0.3450958809897988,0.4305396269611574,11.557959917195157,True,True,0,"{'missing_policy': 'strict', 'data_sanitizer': 'timestamp_guarded', 'control_flow': 'fail_closed', 'logging': 'normal', 'cost_accounting': 'strict', 'execution_accounting': 'strict', 'risk_floor': 0.0, 'audit_strictness': 'strict', 'failed_run_retention': 'keep', 'allow_future_features': False, 'allow_weight_change': False, 'rebalance': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.25, 'top_k': 4, 'threshold': -999.0, 'policy_risk_rule': 'none'}",0.3480598897418745,0.04825652313839335,0.3450958809897988,-0.3847395141313289,0.12542648042623775,0.4593997595396238,0.1474639949906074,0.11775,0.0,True,0.0,1597.0,0.08334163967621278,0.0386466822491871,0.4305396269611574,-0.07821839165211841,0.49408689481970985,0.5852350416602035,0.15601503759398497,0.0415,0,True,0,532,True
Random Legal Patch,0,0,Random Legal Patch-0-0,1.0,0.3450958809897988,0.4305396269611574,11.557959917195157,True,True,0,"{'missing_policy': 'strict', 'data_sanitizer': 'timestamp_guarded', 'control_flow': 'fail_closed', 'logging': 'normal', 'cost_accounting': 'strict', 'execution_accounting': 'settlement_lag', 'risk_floor': 0.0, 'audit_strictness': 'strict', 'failed_run_retention': 'keep', 'allow_future_features': False, 'allow_weight_change': False, 'rebalance': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.25, 'top_k': 4, 'threshold': -999.0, 'policy_risk_rule': 'none'}",0.3480598897418745,0.04825652313839335,0.3450958809897988,-0.3847395141313289,0.12542648042623775,0.4593997595396238,0.1474639949906074,0.11775,0.0,True,0.0,1597.0,0.08334163967621278,0.0386466822491871,0.4305396269611574,-0.07821839165211841,0.49408689481970985,0.5852350416602035,0.15601503759398497,0.0415,0,True,0,532,True
TASE Typed Harness,0,0,TASE Typed Harness-0-0,11.557959917195157,0.3450958809897988,0.4305396269611574,11.557959917195157,True,True,0,"{'missing_policy': 'strict', 'data_sanitizer': 'timestamp_guarded', 'control_flow': 'fail_closed', 'logging': 'normal', 'cost_accounting': 'strict', 'execution_accounting': 'strict', 'risk_floor': 0.0, 'audit_strictness': 'strict', 'failed_run_retention': 'keep', 'allow_future_features': False, 'allow_weight_change': False, 'rebalance': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.25, 'top_k': 4, 'threshold': -999.0, 'policy_risk_rule': 'none'}",0.3480598897418745,0.04825652313839335,0.3450958809897988,-0.3847395141313289,0.12542648042623775,0.4593997595396238,0.1474639949906074,0.11775,0.0,True,0.0,1597.0,0.08334163967621278,0.0386466822491871,0.4305396269611574,-0.07821839165211841,0.49408689481970985,0.5852350416602035,0.15601503759398497,0.0415,0,True,0,532,True
Lightweight Strategy Evolution,0,0,Lightweight Strategy Evolution-0-8,17.310709838033976,0.5016103945828098,0.49942698838782146,17.810709838033976,True,True,1,"{'missing_policy': 'strict', 'data_sanitizer': 'timestamp_guarded', 'control_flow': 'fail_closed', 'logging': 'normal', 'cost_accounting': 'strict', 'execution_accounting': 'next_close', 'risk_floor': 0.0, 'audit_strictness': 'strict', 'failed_run_retention': 'keep', 'allow_future_features': False, 'allow_weight_change': True, 'rebalance': 'W-FRI', 'momentum_window': 10, 'volatility_penalty': 0.0, 'top_k': 6, 'threshold': -999.0, 'policy_risk_rule': 'none'}",0.6305831108861886,0.08020662949696211,0.5016103945828098,-0.3871754694659285,0.20715834504598,0.6658319560449092,0.11292005844291378,0.09016666666666667,0.0,False,1.0,1597.0,0.09691162026078803,0.044789189494230275,0.49942698838782146,-0.08024961251018337,0.5581234362788567,0.6532251534844494,0.12030075187969924,0.032,0,False,1,532,True
SHARP-style Policy Baseline,0,0,SHARP-style Policy Baseline-0-0,11.557959917195157,0.3450958809897988,0.4305396269611574,11.557959917195157,True,True,0,"{'missing_policy': 'strict', 'data_sanitizer': 'timestamp_guarded', 'control_flow': 'fail_closed', 'logging': 'normal', 'cost_accounting': 'strict', 'execution_accounting': 'next_close', 'risk_floor': 0.0, 'audit_strictness': 'strict', 'failed_run_retention': 'keep', 'allow_future_features': False, 'allow_weight_change': False, 'rebalance': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.25, 'top_k': 4, 'threshold': -999.0, 'policy_risk_rule': 'none'}",0.3480598897418745,0.04825652313839335,0.3450958809897988,-0.3847395141313289,0.12542648042623775,0.4593997595396238,0.1474639949906074,0.11775,0.0,True,0.0,1597.0,0.08334163967621278,0.0386466822491871,0.4305396269611574,-0.07821839165211841,0.49408689481970985,0.5852350416602035,0.15601503759398497,0.0415,0,True,0,532,True
Equal Weight Buy Hold,0,0,Equal Weight Buy Hold-0-0,,,0.4305396269611574,8.744809961119085,True,True,0,,,,,,,,,,,,,,0.08334163967621278,0.0386466822491871,0.4305396269611574,-0.07821839165211841,0.49408689481970985,0.5852350416602035,0.15601503759398497,0.0415,0,False,1,532,True
60/40 Proxy,0,0,60/40 Proxy-0-0,,,0.4305396269611574,8.744809961119085,True,True,0,,,,,,,,,,,,,,0.08334163967621278,0.0386466822491871,0.4305396269611574,-0.07821839165211841,0.49408689481970985,0.5852350416602035,0.15601503759398497,0.0415,0,False,1,532,True
MetaHarness Unconstrained,0,1,MetaHarness Unconstrained-0-9,127.07121854563061,3.2751170705967247,3.2831827356872316,128.57121854563061,False,True,3,"{'missing_policy': 'drop_missing', 'data_sanitizer': 'timestamp_guarded', 'control_flow': 'fail_closed', 'logging': 'normal', 'cost_accounting': 'loose', 'execution_accounting': 'next_close', 'risk_floor': 0.0, 'audit_strictness': 'strict', 'failed_run_retention': 'keep', 'allow_future_features': True, 'allow_weight_change': False, 'rebalance': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.25, 'top_k': 2, 'threshold': -999.0, 'policy_risk_rule': 'none'}",16.240285726191566,0.5676310681684957,3.2751170705967247,-0.09140963109526323,6.209751219506999,5.079491257993258,0.23157894736842102,0.18480000000000002,1.0,False,3.0,1596.0,1.111985213296626,0.4249543122447137,3.2831827356872316,-0.08192615966502903,5.187040549468224,4.083656500116969,0.23684210526315788,0.063,1,False,3,532,True
Constrained Safe Search,0,1,Constrained Safe Search-0-0,30.006268043492188,0.8071340672093887,0.5211442984962157,30.006268043492188,True,True,0,"{'missing_policy': 'strict', 'data_sanitizer': 'timestamp_guarded', 'control_flow': 'fail_closed', 'logging': 'normal', 'cost_accounting': 'strict', 'execution_accounting': 'strict', 'risk_floor': 0.0, 'audit_strictness': 'strict', 'failed_run_retention': 'keep', 'allow_future_features': False, 'allow_weight_change': False, 'rebalance': 'W-FRI', 'momentum_window': 20, 'volatility_penalty': 0.25, 'top_k': 4, 'threshold': -999.0, 'policy_risk_rule': 'none'}",1.0868790689188712,0.1231737359269014,0.8071340672093887,-0.15720956398779173,0.7835002706099139,1.0551718157793972,0.1525689223057644,0.12175,0.0,True,0.0,1596.0,0.10215876749104669,0.047153603218244244,0.5211442984962157,-0.08348226150658644,0.5648338026219378,0.6840957334646117,0.16071428571428573,0.042749999999999996,0,True,0,532,True
