date,ticker,reason,missing_ratio
,APP,some_missing_days,0.06972111553784865
,CEG,insufficient_history,0.26195219123505975
,COIN,some_missing_days,0.06872509960159368
2023-06-08,CVNA,bad_tick_extreme_return,
,EXE,some_missing_days,0.02589641434262946
,FDXF,download_failed,1.0
,GEHC,insufficient_history,0.4900398406374502
,GEV,insufficient_history,0.8087649402390438
2024-04-11,GL,bad_tick_extreme_return,
,HOOD,insufficient_history,0.14243027888446214
,KVUE,insufficient_history,0.5846613545816732
,Q,download_failed,1.0
,SNDK,download_failed,1.0
,SOLV,insufficient_history,0.8077689243027888
,VLTO,insufficient_history,0.6892430278884463
